,Ticker,Latest_Price,Score,PE_Ratio,PEG_Ratio,52_Week_Low,52_Week_High,SMA_150,SMA_200
21,GRMN,177.94000244140625,98.5,25.132769,0.6942753867403315,99.61,178.51,146.23804865519205,138.15203453063964
39,TJX,111.83000183105467,97.01,27.749378,1.2388115178571428,85.27,115.35,99.9604482014974,97.15662494659423
41,UAL,47.369998931884766,96.11,5.310538,0.23921342342342344,33.68,56.18,46.47299995422363,44.540499935150144
14,DVA,137.41000366210938,96.11,15.579366,0.13910148214285714,71.51,147.93,129.14153361002604,119.55040019989013
23,GS,499.0299987792969,94.81,15.999679,0.08893651473040579,289.36,509.48,418.43373107910156,394.7109001159668
42,URI,752.2100219726562,94.41,19.8787,1.7748839285714282,387.01,789.8,653.2167521158855,604.8450663757325
27,KMI,21.3700008392334,94.41,19.605505,-21.783894444444446,15.89,21.86,18.329321250915527,17.855496845245362
20,FDX,300.1400146484375,93.61,17.45,-1.3120300751879699,224.69,313.84,259.7509059651693,257.3842170715332
3,AXP,245.88999938964844,91.12,18.35,0.4208715596330275,140.91,253.73,220.8110669962565,205.38654975891114
30,NDAQ,66.95999908447266,90.42,38.930233,-1.3152105743243245,46.88,67.77,59.268846384684245,57.450253887176515
9,BK,65.3499984741211,90.42,15.485783,0.916318520710059,39.66,65.91,57.03626668294271,54.222650032043454
31,NFLX,631.3699951171875,87.43,39.362217,0.8149527329192547,344.73,697.49,597.8127351888021,557.3585511779785
17,DOV,185.22999572753903,87.43,17.24674,0.9272440860215052,127.25,192.31,170.35668579101562,162.09048049926758
7,T,19.01000022888184,87.43,10.925287,-0.5545830964467006,13.89,19.74,17.021630255381265,16.53578574180603
25,HBAN,15.130000114440918,86.53,14.273585,-0.9981527972027974,9.25,15.25,13.078747444152832,12.415814838409425
29,MS,104.19000244140624,86.53,17.136515,0.36616485042735036,69.42,109.11,92.52801264444987,88.53351039886475
15,FANG,200.759994506836,85.73,11.310422,1.1088649019607846,143.08,214.5,183.63292694091797,175.64252967834472
33,PGR,215.67999267578125,82.93,18.449957,0.05505806326469711,124.06,229.0,197.58630208333332,187.5125833892822
43,VLO,159.1199951171875,82.93,9.015297,-0.1806672745490982,119.88,184.79,150.347670694987,143.73350246429445
19,ETN,297.7900085449219,82.93,35.199764,1.2438079151943464,191.82,345.19,297.19768412272134,277.3821351623535
11,CARR,66.7699966430664,81.64,17.757978,0.017604816099930608,45.68,70.09,59.354418716430665,57.42032560348511
36,RL,168.10000610351562,80.14,17.294239,0.09238375534188034,108.6,192.03,167.32263163248697,155.56427684783935
45,WAB,159.69000244140625,80.14,28.01579,0.512171663619744,98.7,170.83,148.3820055135091,139.20160778045656
22,GEN,26.09000015258789,80.14,27.177084,-0.3186059085580305,16.38,26.27,22.779537035624188,21.93189679145813
13,KO,67.05000305175781,80.14,27.256098,-5.4512196,51.55,67.11,60.735852533976235,59.48058410644531
12,CAT,350.4800109863281,80.14,15.844484,0.2950555679702048,223.76,382.01,330.2469150797526,310.26695304870606
44,VMC,261.7099914550781,78.74,37.874096,-2.4917168421052636,190.51,276.58,250.71004608154297,240.47928787231444
28,MTB,174.89999389648438,78.74,12.974777,-0.495220496183206,108.53,176.44,143.015830078125,137.57219047546386
0,AFL,94.81999969482422,77.54,10.431243,0.15453693333333335,71.97,95.49,84.92100031534831,83.915400390625
24,HIG,109.62999725341795,77.54,11.54,0.2814634146341463,68.82,109.68,95.60385060628255,90.25908435821533
35,QCOM,180.0500030517578,77.54,23.9747,0.6715602240896359,104.33,230.63,173.1712846883138,160.12463970184325
10,CPT,113.01000213623048,75.95,27.69853,0.2775403807615231,82.81,115.66,100.05103652954102,97.26662406921386
8,BAC,41.66999816894531,75.95,14.621053,-2.5650970175438594,24.96,44.44,36.92559995015462,34.90629993438721
5,AMP,439.5400085449219,74.25,14.970709,-6.509003913043479,306.63,449.94,413.2726713053385,394.35583755493167
16,D,52.70000076293945,74.25,22.813854,-0.7063112693498451,39.18,54.23,48.366616338094076,47.035151691436766
4,AIG,77.23999786376953,74.25,11.54559,0.002025542105263158,57.02,80.83,73.9115997314453,71.35344982147217
2,GOOG,168.67999267578125,72.26,24.200861,0.773190447284345,121.46,193.31,160.02733317057292,153.71334968566896
34,PHM,129.99000549316406,72.26,9.922901,0.5168177604166667,68.8,130.93,110.6201931254069,103.84996971130371
37,REGN,1078.6300048828125,72.26,31.874409,-2.529715,726.12,1106.16,968.8711315917968,931.279748840332
32,OMC,95.43000030517578,72.26,13.19917,-1.4192655913978494,72.2,98.06,90.33068567911783,86.89903755187989
40,TT,329.7099914550781,70.66,34.853065,0.8105363953488373,184.02,347.33,296.8357004801432,276.5920234680176
1,GOOGL,167.0,70.66,23.994253,0.766589552715655,120.21,191.75,158.59953348795574,152.29685028076173
38,ROST,140.91000366210938,69.36,23.762228,0.7009506784660766,108.35,153.06,140.77175094604493,136.42850959777832
6,ACGL,96.91000366210938,69.36,7.648777,0.13609923487544484,72.85,103.79,91.00840031941732,88.9961001586914
18,EMN,100.7300033569336,69.36,13.557201,-0.9349793793103449,68.89,105.98,93.05128850301107,89.02596576690674
26,IP,46.91999816894531,69.36,35.816795,0.33133020351526365,31.77,47.4,38.748286463419596,37.47371148109436
